89,Taylor Swift,New Romantics,"['https://genius.com/tags/electro-pop', 'https://genius.com/tags/singer-songwriter', 'https://genius.com/tags/new-wave', 'https://genius.com/tags/synth-pop', 'https://genius.com/tags/pop']"
57,Taylor Swift,I Knew You Were Trouble.,"['https://genius.com/tags/rock', 'https://genius.com/tags/singer-songwriter', 'https://genius.com/tags/pop-rock', 'https://genius.com/tags/dubstep', 'https://genius.com/tags/electro-pop', 'https://genius.com/tags/memes', 'https://genius.com/tags/pop']"
46,Taylor Swift,Haunted ,"['https://genius.com/tags/orchestral', 'https://genius.com/tags/singer-songwriter', 'https://genius.com/tags/rock', 'https://genius.com/tags/pop-country', 'https://genius.com/tags/pop-rock', 'https://genius.com/tags/country', 'https://genius.com/tags/pop']"
76,Taylor Swift,Style,"['https://genius.com/tags/synth-pop', 'https://genius.com/tags/funk', 'https://genius.com/tags/singer-songwriter', 'https://genius.com/tags/pop-rock', 'https://genius.com/tags/funk-pop', 'https://genius.com/tags/disco', 'https://genius.com/tags/pop']"
43,Taylor Swift,Enchanted,"['https://genius.com/tags/pop-country', 'https://genius.com/tags/singer-songwriter', 'https://genius.com/tags/rock', 'https://genius.com/tags/pop', 'https://genius.com/tags/pop-rock', 'https://genius.com/tags/country']"
60,Taylor Swift,I Almost Do,"['https://genius.com/tags/pop-country', 'https://genius.com/tags/pop', 'https://genius.com/tags/singer-songwriter', 'https://genius.com/tags/country']"
82,Taylor Swift,Wildest Dreams ,"['https://genius.com/tags/synth-pop', 'https://genius.com/tags/ballad', 'https://genius.com/tags/singer-songwriter', 'https://genius.com/tags/dream-pop', 'https://genius.com/tags/pop']"
94,Taylor Swift,Delicate,"['https://genius.com/tags/dream-pop', 'https://genius.com/tags/singer-songwriter', 'https://genius.com/tags/synth-pop', 'https://genius.com/tags/new-wave', 'https://genius.com/tags/tropical-house', 'https://genius.com/tags/electro-pop', 'https://genius.com/tags/electronic', 'https://genius.com/tags/pop']"
112,Taylor Swift,Miss Americana & the Heartbreak Prince,"['https://genius.com/tags/dream-pop', 'https://genius.com/tags/ballad', 'https://genius.com/tags/synth-pop', 'https://genius.com/tags/singer-songwriter', 'https://genius.com/tags/pop']"
32,Taylor Swift,Forever & Always,"['https://genius.com/tags/rock', 'https://genius.com/tags/singer-songwriter', 'https://genius.com/tags/pop-country', 'https://genius.com/tags/country', 'https://genius.com/tags/pop']"
